airline_key,airline_id,airline_code,airline_name,airline_country,airline_active,comparison_threshold_20,comparison_threshold_50,comparison_threshold_100,dashboard_default_eligible,non_codeshare_route_presence_count,all_listed_route_presence_count,route_presence_uplift,non_codeshare_airport_coverage,all_listed_airport_coverage,airport_coverage_uplift,non_codeshare_country_coverage,all_listed_country_coverage,country_coverage_uplift,non_codeshare_top1_origin_share,all_listed_top1_origin_share,top1_origin_share_difference,non_codeshare_origin_airport_hhi,all_listed_origin_airport_hhi,origin_hhi_difference,non_codeshare_effective_hubs,all_listed_effective_hubs,effective_hubs_difference
id:4687,4687,NK,Spirit Airlines,United States,Y,True,True,True,True,242,242,0,54,54,0,18,18,0,0.173553719008264,0.173553719008264,0,0.0604125401270405,0.0604125401270405,0,16.5528547201809,16.5528547201809,0
id:4311,4311,NL,Shaheen Air International,Pakistan,Y,True,True,False,True,64,64,0,19,19,0,6,6,0,0.15625,0.15625,0,0.08349609375,0.08349609375,0,11.9766081871345,11.9766081871345,0
id:17083,17083,NP,Nile Air,Egypt,Y,False,False,False,False,16,16,0,8,8,0,3,3,0,0.3125,0.3125,0,0.1953125,0.1953125,0,5.12,5.12,0
id:16136,16136,NS,Caucasus Airlines,Georgia,Y,True,True,False,True,62,62,0,29,29,0,1,1,0,0.209677419354839,0.209677419354839,0,0.0790842872008325,0.0790842872008325,0,12.6447368421053,12.6447368421053,0
id:2990,2990,NU,Japan Transocean Air,Japan,Y,True,False,False,False,22,22,0,10,10,0,1,1,0,0.363636363636364,0.363636363636364,0,0.18595041322314,0.18595041322314,0,5.37777777777778,5.37777777777778,0
id:896,896,NY,Air Iceland,Iceland,Y,False,False,False,False,8,8,0,5,5,0,2,2,0,0.5,0.5,0,0.3125,0.3125,0,3.2,3.2,0
code:O4,,O4,,,,False,False,False,False,8,8,0,5,5,0,1,1,0,0.5,0.5,0,0.3125,0.3125,0,3.2,3.2,0
id:3764,3764,O6,Oceanair,Brazil,Y,True,True,True,True,104,104,0,24,24,0,1,1,0,0.182692307692308,0.182692307692308,0,0.0791420118343195,0.0791420118343195,0,12.6355140186916,12.6355140186916,0
id:462,462,OB,Astrakhan Airlines,Russia,Y,True,False,False,False,28,28,0,9,9,0,4,4,0,0.25,0.25,0,0.158163265306122,0.158163265306122,0,6.32258064516129,6.32258064516129,0
id:11794,11794,OC,Catovair,Mauritius,Y,False,False,False,False,8,8,0,5,5,0,1,1,0,0.375,0.375,0,0.25,0.25,0,4,4,0
id:18732,18732,OD,Malindo Air,Malaysia,Y,True,False,False,False,46,46,0,21,21,0,5,5,0,0.326086956521739,0.326086956521739,0,0.14461247637051,0.14461247637051,0,6.91503267973856,6.91503267973856,0
id:3826,3826,OJ,Overland Airways,Nigeria,Y,False,False,False,False,8,8,0,4,4,0,4,4,0,0.375,0.375,0,0.28125,0.28125,0,3.55555555555556,3.55555555555556,0
id:3354,3354,OM,MIAT Mongolian Airlines,Mongolia,Y,False,False,False,False,12,12,0,7,7,0,7,7,0,0.416666666666667,0.416666666666667,0,0.236111111111111,0.236111111111111,0,4.23529411764706,4.23529411764706,0
id:3618,3618,ON,Nauru Air Corporation,Nauru,Y,False,False,False,False,8,8,0,4,4,0,4,4,0,0.375,0.375,0,0.28125,0.28125,0,3.55555555555556,3.55555555555556,0
id:1299,1299,OR,Arkefly,Netherlands,Y,True,False,False,False,24,24,0,12,12,0,8,8,0,0.333333333333333,0.333333333333333,0,0.159722222222222,0.159722222222222,0,6.26086956521739,6.26086956521739,0
id:2218,2218,OV,Estonian Air,Estonia,Y,True,False,False,False,26,26,0,14,14,0,11,11,0,0.461538461538462,0.461538461538462,0,0.236686390532544,0.236686390532544,0,4.225,4.225,0
id:3811,3811,OX,Orient Thai Airlines,Thailand,Y,False,False,False,False,6,6,0,5,5,0,3,3,0,0.333333333333333,0.333333333333333,0,0.222222222222222,0.222222222222222,0,4.5,4.5,0
id:3781,3781,OY,Omni Air International,United States,Y,False,False,False,False,4,4,0,3,3,0,1,1,0,0.5,0.5,0,0.375,0.375,0,2.66666666666667,2.66666666666667,0
id:4066,4066,P0,Proflight Commuter Services,Zambia,Y,False,False,False,False,16,16,0,7,7,0,2,2,0,0.4375,0.4375,0,0.2421875,0.2421875,0,4.12903225806452,4.12903225806452,0
code:P2,,P2,,,,False,False,False,False,15,15,0,8,8,0,2,2,0,0.4,0.4,0,0.217777777777778,0.217777777777778,0,4.59183673469388,4.59183673469388,0
id:18169,18169,P4,Patriot Airways,United States,Y,True,False,False,False,21,21,0,9,9,0,3,3,0,0.333333333333333,0.333333333333333,0,0.188208616780045,0.188208616780045,0,5.31325301204819,5.31325301204819,0
code:P6,,P6,,,,True,False,False,False,38,38,0,13,13,0,1,1,0,0.184210526315789,0.184210526315789,0,0.109418282548476,0.109418282548476,0,9.13924050632912,9.13924050632912,0
id:11763,11763,P9,Peruvian Airlines,Peru,Y,False,False,False,False,16,16,0,8,8,0,1,1,0,0.375,0.375,0,0.203125,0.203125,0,4.92307692307692,4.92307692307692,0
code:PB,,PB,,,,True,False,False,False,46,46,0,18,18,0,1,1,0,0.173913043478261,0.173913043478261,0,0.0831758034026465,0.0831758034026465,0,12.0227272727273,12.0227272727273,0
id:3926,3926,PC,Pegasus Airlines,Turkey,Y,True,True,True,True,242,242,0,82,82,0,32,32,0,0.309917355371901,0.309917355371901,0,0.113107028208456,0.113107028208456,0,8.84118357487923,8.84118357487923,0
id:4021,4021,PD,Porter Airlines,Canada,Y,True,False,False,False,34,34,0,17,17,0,2,2,0,0.382352941176471,0.382352941176471,0,0.176470588235294,0.176470588235294,0,5.66666666666667,5.66666666666667,0
id:106,106,PE,Air Europe,Italy,Y,False,False,False,False,2,2,0,2,2,0,2,2,0,0.5,0.5,0,0.5,0.5,0,2,2,0
id:3969,3969,PI,Piedmont Airlines (1948-1989),United States,Y,False,False,False,False,8,8,0,5,5,0,1,1,0,0.5,0.5,0,0.3125,0.3125,0,3.2,3.2,0
id:477,477,PJ,Air Saint Pierre,France,Y,False,False,False,False,6,6,0,4,4,0,2,2,0,0.5,0.5,0,0.333333333333333,0.333333333333333,0,3,3,0
id:3871,3871,PK,Pakistan International Airlines,Pakistan,Y,True,True,True,True,242,242,0,53,53,0,23,23,0,0.12396694214876,0.12396694214876,0,0.0566559661225326,0.0566559661225326,0,17.6503918022905,17.6503918022905,0
id:179,179,PL,Aeroper,Peru,Y,False,False,False,False,14,14,0,8,8,0,1,1,0,0.5,0.5,0,0.285714285714286,0.285714285714286,0,3.5,3.5,0
