airline_key,airline_id,airline_code,airline_name,airline_country,airline_active,comparison_threshold_20,comparison_threshold_50,comparison_threshold_100,dashboard_default_eligible,directed_route_presences,distinct_origin_airports,distinct_destination_airports,distinct_airports,distinct_countries,domestic_route_presence_share,international_route_presence_share,reciprocal_route_share,codeshare_route_presence_share
id:1316,1316,FL,AirTran Airways,United States,Y,True,True,True,True,169,49,49,50,6,0.727810650887574,0.272189349112426,0.923076923076923,0.767217630853995
id:3290,3290,JT,Lion Mentari Airlines,Indonesia,Y,True,True,True,True,168,38,39,39,5,0.94047619047619,0.0595238095238095,0.976190476190476,0.308641975308642
id:3052,3052,JQ,Jetstar Airways,Australia,Y,True,True,True,True,163,33,33,33,8,0.638036809815951,0.361963190184049,0.993865030674847,0
id:4375,4375,SG,Spicejet,India,Y,True,True,True,True,162,44,44,44,7,0.876543209876543,0.123456790123457,1,0
id:4940,4940,TG,Thai Airways International,Thailand,Y,True,True,True,True,162,77,77,77,40,0.135802469135802,0.864197530864198,1,0.151832460732984
id:321,321,AM,AeroMéxico,Mexico,Y,True,True,True,True,161,66,66,67,21,0.484472049689441,0.515527950310559,0.968944099378882,0.626450116009281
id:3000,3000,9W,Jet Airways,India,Y,True,True,True,True,157,49,48,49,18,0.401273885350318,0.598726114649682,0.980891719745223,0.431159420289855
id:4869,4869,TP,TAP Portugal,Portugal,Y,True,True,True,True,156,68,65,68,34,0.115384615384615,0.884615384615385,0.961538461538462,0.318777292576419
id:15999,15999,9C,China SSS,China,Y,True,True,True,True,155,51,50,51,10,0.8,0.2,0.941935483870968,0
id:1756,1756,CI,China Airlines,Taiwan,Y,True,True,True,True,154,67,67,68,26,0.00649350649350649,0.993506493506494,0.987012987012987,0.0941176470588235
id:5281,5281,HY,Uzbekistan Airways,Uzbekistan,Y,True,True,True,True,150,51,51,51,22,0.14,0.86,0.973333333333333,0.00662251655629139
id:1889,1889,CM,Copa Airlines,Panama,Y,True,True,True,True,149,64,64,64,28,0.100671140939597,0.899328859060403,0.993288590604027,0.190217391304348
id:4870,4870,TU,Tunisair,Tunisia,Y,True,True,True,True,149,54,54,54,27,0,1,0.993288590604027,0
id:1203,1203,A5,Airlinair,France,Y,True,True,True,True,148,44,44,44,8,0.783783783783784,0.216216216216216,1,0
id:14485,14485,FZ,Fly Dubai,United Arab Emirates,Y,True,True,True,True,146,65,65,65,35,0.00684931506849315,0.993150684931507,0.986301369863014,0
id:3081,3081,HO,Juneyao Airlines,China,Y,True,True,True,True,145,53,53,53,7,0.848275862068966,0.151724137931034,0.979310344827586,0
id:90,90,UX,Air Europa,Spain,Y,True,True,True,True,141,53,52,53,23,0.546099290780142,0.453900709219858,0.950354609929078,0.107594936708861
id:5013,5013,TOM,Thomsonfly,United Kingdom,Y,True,True,True,True,139,34,35,36,15,0,1,0.920863309352518,0
id:1531,1531,SN,Brussels Airlines,Belgium,Y,True,True,True,True,138,68,68,68,36,0.0144927536231884,0.985507246376812,0.884057971014493,0.273684210526316
id:3952,3952,PR,Philippine Airlines,Philippines,Y,True,True,True,True,136,64,64,64,19,0.455882352941176,0.544117647058824,1,0.0555555555555556
id:20577,20577,V7,VOLOTEA Airways,Spain,Y,True,True,True,True,136,38,38,38,6,0.676470588235294,0.323529411764706,1,0
id:4435,4435,SQ,Singapore Airlines,Singapore,Y,True,True,True,True,132,65,65,65,36,0.0454545454545455,0.954545454545455,1,0.371428571428571
id:2942,2942,8L,Cargo Plus Aviation,United Arab Emirates,Y,True,True,True,True,130,45,45,45,2,0.984615384615385,0.0153846153846153,1,0
id:329,329,G9,Air Arabia,United Arab Emirates,Y,True,True,True,True,128,65,65,65,23,0,1,1,0
id:3126,3126,KQ,Kenya Airways,Kenya,Y,True,True,True,True,125,53,53,53,40,0.08,0.92,0.944,0.119718309859155
id:3200,3200,LA,LAN Airlines,Chile,Y,True,True,True,True,125,49,52,52,17,0.416,0.584,0.8,0.56140350877193
id:4897,4897,TCX,Thomas Cook Airlines,United Kingdom,Y,True,True,True,True,125,25,26,28,12,0,1,0.864,0
id:5282,5282,PS,Ukraine International Airlines,Ukraine,Y,True,True,True,True,119,50,50,50,28,0.100840336134454,0.899159663865546,0.991596638655462,0.062992125984252
id:1006,1006,KC,Air Astana,Kazakhstan,Y,True,True,True,True,116,38,38,38,20,0.327586206896552,0.672413793103448,1,0.0169491525423729
id:17885,17885,4O,Interjet (ABC Aerolineas),Mexico,Y,True,True,True,True,112,43,43,43,6,0.75,0.25,1,0
id:4259,4259,RJ,Royal Jordanian,Jordan,Y,True,True,True,True,112,55,55,55,36,0.0357142857142857,0.964285714285714,1,0.0508474576271186
id:3661,3661,HG,Niki,Austria,Y,True,True,True,True,111,46,46,46,16,0.027027027027027,0.972972972972973,0.954954954954955,0
id:333,333,BT,Air Baltic,Latvia,Y,True,True,True,True,108,53,53,53,31,0,1,1,0.0357142857142857
id:3329,3329,LG,Luxair,Luxembourg,Y,True,True,True,True,108,52,54,54,20,0.0925925925925926,0.907407407407407,0.907407407407407,0.0181818181818182
id:1317,1317,TS,Air Transat,Canada,Y,True,True,True,True,107,36,35,38,16,0.102803738317757,0.897196261682243,0.85981308411215,0.22463768115942
id:4026,4026,BK,Potomac Air,United States,Y,True,True,True,True,106,38,38,38,2,0.962264150943396,0.0377358490566038,1,0
id:4454,4454,SJ,Sriwijaya Air,Indonesia,Y,True,True,True,True,106,38,38,38,2,0.981132075471698,0.0188679245283019,1,0
id:412,412,AR,Aerolineas Argentinas,Argentina,Y,True,True,True,True,104,40,40,40,13,0.615384615384615,0.384615384615385,1,0.324675324675325
id:3764,3764,O6,Oceanair,Brazil,Y,True,True,True,True,104,24,24,24,1,1,0,1,0
id:2091,2091,BR,EVA Air,Taiwan,Y,True,True,True,True,102,51,51,51,21,0,1,1,0.135593220338983
