airline_key,airline_id,airline_code,airline_name,airline_country,airline_active,comparison_threshold_20,comparison_threshold_50,comparison_threshold_100,dashboard_default_eligible,top1_origin_share,top3_origin_share,origin_airport_hhi,effective_hubs,distinct_origin_airports
id:1792,1792,WX,CityJet,Ireland,Y,True,False,False,False,0.366666666666667,0.566666666666667,0.171111111111111,5.84415584415585,16
id:14849,14849,JY,Aereonautica militare,Italy,Y,True,False,False,False,0.357142857142857,0.535714285714286,0.170918367346939,5.85074626865672,12
id:2091,2091,BR,EVA Air,Taiwan,Y,True,True,True,True,0.401960784313726,0.470588235294118,0.170511341791619,5.86471251409244,51
id:4947,4947,FD,Thai AirAsia,Thailand,Y,True,True,False,True,0.391304347826087,0.521739130434783,0.170132325141777,5.87777777777778,37
id:5179,5179,RO,Tarom,Romania,Y,True,True,False,True,0.395348837209302,0.5,0.169821525148729,5.88853503184713,40
id:4513,4513,FS,Servicios de Transportes A,Argentina,Y,False,False,False,False,0.235294117647059,0.588235294117647,0.169550173010381,5.89795918367347,7
id:4869,4869,TP,TAP Portugal,Portugal,Y,True,True,True,True,0.397435897435897,0.5,0.1689677843524,5.91828793774319,68
id:4435,4435,SQ,Singapore Airlines,Singapore,Y,True,True,True,True,0.401515151515151,0.439393939393939,0.167584940312213,5.96712328767123,65
id:8359,8359,2I,Star Peru (2I),Peru,Y,False,False,False,False,0.277777777777778,0.611111111111111,0.166666666666667,6,8
id:13200,13200,JH,Fuji Dream Airlines,Japan,Y,False,False,False,False,0.333333333333333,0.555555555555556,0.166666666666667,6,10
id:882,882,QH,Air Florida,United States,Y,True,False,False,False,0.294117647058824,0.588235294117647,0.166089965397924,6.02083333333333,12
id:2765,2765,HD,Hokkaido International Airlines,Japan,Y,True,False,False,False,0.307692307692308,0.576923076923077,0.165680473372781,6.03571428571428,14
id:4951,4951,TK,Turkish Airlines,Turkey,Y,True,True,True,True,0.402621722846442,0.456928838951311,0.16550239167333,6.04220875535026,239
id:32,32,8U,Afriqiyah Airways,Libya,Y,True,False,False,False,0.305555555555556,0.583333333333333,0.165123456790124,6.05607476635514,13
id:11838,11838,Q9,Arik Niger,Niger,Y,True,False,False,False,0.3,0.55,0.165,6.06060606060606,8
id:3589,3589,UE,Nasair,Eritrea,Y,False,False,False,False,0.3125,0.5625,0.1640625,6.09523809523809,9
id:9764,9764,Z2,Zest Air,Philippines,Y,True,False,False,False,0.34375,0.5625,0.1640625,6.09523809523809,14
id:5085,5085,UG,Tuninter,Tunisia,Y,True,False,False,False,0.333333333333333,0.541666666666667,0.163194444444444,6.12765957446809,11
id:125,125,FG,Ariana Afghan Airlines,Afghanistan,Y,True,False,False,False,0.318181818181818,0.545454545454545,0.161157024793388,6.20512820512821,10
id:1422,1422,PG,Bangkok Airways,Thailand,Y,True,True,False,True,0.365079365079365,0.53968253968254,0.160997732426304,6.2112676056338,28
id:3976,3976,9E,Pinnacle Airlines,United States,Y,True,False,False,False,0.369565217391304,0.521739130434783,0.160680529300567,6.22352941176471,25
id:3613,3613,CE,Nationwide Airlines,South Africa,Y,False,False,False,False,0.2,0.6,0.16,6.25,7
id:2524,2524,4G,Gazpromavia,Russia,Y,True,False,False,False,0.3,0.6,0.16,6.25,10
id:4550,4550,A4,Southern Winds Airlines,Argentina,Y,True,False,False,False,0.3,0.6,0.16,6.25,10
id:10128,10128,DH,Dennis Sky,Israel,Y,False,False,False,False,0.230769230769231,0.538461538461539,0.159763313609467,6.25925925925926,7
id:1299,1299,OR,Arkefly,Netherlands,Y,True,False,False,False,0.333333333333333,0.541666666666667,0.159722222222222,6.26086956521739,12
id:462,462,OB,Astrakhan Airlines,Russia,Y,True,False,False,False,0.25,0.607142857142857,0.158163265306122,6.32258064516129,9
id:16475,16475,YI,TUR Avrupa Hava YollarÄ±,Turkey,N,True,False,False,False,0.222222222222222,0.555555555555556,0.157750342935528,6.33913043478261,8
id:4031,4031,PW,Precision Air,Tanzania,Y,True,False,False,False,0.290322580645161,0.580645161290323,0.157127991675338,6.36423841059603,11
id:3391,3391,RI,Mandala Airlines,Indonesia,Y,False,False,False,False,0.25,0.5625,0.15625,6.4,8
id:5479,5479,SE,XL Airways France,France,Y,True,False,False,False,0.34375,0.5625,0.15625,6.4,17
id:16624,16624,TW,Tway Airlines,South Korea,Y,False,False,False,False,0.3125,0.5625,0.15625,6.4,10
id:4292,4292,WB,Rwandair Express,Rwanda,Y,True,False,False,False,0.358974358974359,0.461538461538462,0.155818540433925,6.41772151898734,18
id:2682,2682,HF,Hapagfly,Germany,Y,True,False,False,False,0.32,0.56,0.1552,6.44329896907217,12
id:4752,4752,PY,Surinam Airways,Suriname,Y,True,False,False,False,0.3,0.5,0.155,6.45161290322581,9
id:4559,4559,LX,Swiss International Air Lines,Switzerland,Y,True,True,True,True,0.365168539325843,0.50561797752809,0.15402095694988,6.49262295081967,74
id:879,879,FJ,Air Pacific,Fiji,Y,True,False,False,False,0.342105263157895,0.526315789473684,0.153739612188366,6.50450450450451,16
id:11741,11741,3S,Air Antilles Express,Guadeloupe,Y,True,False,False,False,0.291666666666667,0.583333333333333,0.152777777777778,6.54545454545455,11
id:3148,3148,Y9,Kish Air,Iran,Y,True,False,False,False,0.238095238095238,0.571428571428571,0.151927437641723,6.58208955223881,10
id:3856,3856,8P,Pacific Coastal Airline,Canada,Y,True,False,False,False,0.333333333333333,0.5,0.151111111111111,6.61764705882353,14
