airline_key,airline_id,airline_code,airline_name,airline_country,airline_active,comparison_threshold_20,comparison_threshold_50,comparison_threshold_100,dashboard_default_eligible,mean_route_distance_km,median_route_distance_km,p90_route_distance_km,valid_distance_route_presences,invalid_or_missing_distance_route_presences,domestic_route_presence_share,international_route_presence_share,distinct_country_count,origin_country_count,destination_country_count
id:794,794,AH,Air Algerie,Algeria,Y,True,True,True,True,1251.91971352998,1002.26331649823,2620.35684650598,226,0,0.36283185840708,0.63716814159292,26,26,26
id:1756,1756,CI,China Airlines,Taiwan,Y,True,True,True,True,2926.47708681918,1903.93450939213,7886.29132664733,154,0,0.00649350649350649,0.993506493506494,26,26,26
id:2150,2150,LY,El Al Israel Airlines,Israel,Y,True,True,False,True,3921.33814509784,2918.54096477911,8838.82267817431,73,0,0,1,26,26,26
id:4329,4329,S7,S7 Airlines,Russia,Y,True,True,True,True,2222.59990264754,2010.9258909531,3729.54667559649,242,0,0.396694214876033,0.603305785123967,26,26,26
id:515,515,AV,Avianca - Aerovias Nacionales de Colombia,AVIANCA,Y,True,True,True,True,1940.04106399085,1650.66162956924,3996.32158345515,243,0,0.263374485596708,0.736625514403292,25,25,25
id:5179,5179,RO,Tarom,Romania,Y,True,True,False,True,1192.82824482669,1171.00722351906,2072.38065292718,86,0,0.162790697674419,0.837209302325581,25,25,25
id:2638,2638,GF,Gulf Air Bahrain,Bahrain,Y,True,True,False,True,2109.42330784235,1884.58202475549,4668.97341435173,75,0,0,1,24,24,23
id:1946,1946,OK,Czech Airlines,Czech Republic,Y,True,True,True,True,1565.40320272973,1181.28611618151,2827.77468670383,101,0,0.099009900990099,0.900990099009901,24,24,23
id:218,218,AI,Air India Limited,India,Y,True,True,True,True,1733.97830266103,884.021784416781,3746.40298264471,306,0,0.663398692810457,0.336601307189543,23,23,23
id:329,329,G9,Air Arabia,United Arab Emirates,Y,True,True,True,True,2111.66998503756,2158.0794106184,3404.73213337359,128,0,0,1,23,23,23
id:2922,2922,IR,Iran Air,Iran,Y,True,True,True,True,1317.35795562942,793.432895230302,3712.87864919609,182,0,0.60989010989011,0.39010989010989,23,23,22
id:2987,2987,JL,Japan Airlines,Japan,Y,True,True,True,True,3233.73462922809,1776.70791888015,8297.6833163827,186,0,0.408602150537634,0.591397849462366,23,23,23
id:3490,3490,ME,Middle East Airlines,Lebanon,Y,True,True,False,True,1871.08354750428,1464.74064441218,3481.66156633142,62,0,0,1,23,22,23
id:3871,3871,PK,Pakistan International Airlines,Pakistan,Y,True,True,True,True,2293.59196233398,1738.05172016062,6053.81825600318,242,0,0.330578512396694,0.669421487603306,23,23,23
id:90,90,UX,Air Europa,Spain,Y,True,True,True,True,2613.38479881438,1460.65592364905,7462.27028511691,141,0,0.546099290780142,0.453900709219858,23,23,23
id:3029,3029,B6,JetBlue Airways,United States,Y,True,True,True,True,2519.86797361999,1897.82434293086,4126.86109288676,399,0,0.596491228070175,0.403508771929825,22,22,22
id:837,837,EI,Aer Lingus,Ireland,Y,True,True,True,True,1898.40307724898,1561.58042533586,3034.61514625817,172,0,0.0232558139534884,0.976744186046512,22,22,22
id:2660,2660,HU,Hainan Airlines,China,Y,True,True,True,True,1451.29412543805,1115.77079023313,2211.01512561684,520,3,0.834615384615385,0.165384615384615,22,22,21
id:5281,5281,HY,Uzbekistan Airways,Uzbekistan,Y,True,True,True,True,2568.4706113423,2413.55487958877,4695.52889748842,150,0,0.14,0.86,22,22,22
